symbol,date,open,high,low,close,volume,adjclose,splits
ARQQ,2021-04-01,240.0,240.0,240.0,240.0,4,240.0,0.0
ARQQ,2021-04-05,240.0,240.0,240.0,240.0,0,240.0,0.0
ARQQ,2021-04-06,250.0,250.0,248.75,248.75,488,248.75,0.0
ARQQ,2021-04-07,248.75,248.75,248.75,248.75,4,248.75,0.0
ARQQ,2021-04-08,248.75,248.75,248.75,248.75,0,248.75,0.0
ARQQ,2021-04-09,249.75,249.75,248.75,248.75,300,248.75,0.0
ARQQ,2021-04-12,248.75,250.25,248.5,248.5,112,248.5,0.0
ARQQ,2021-04-13,247.5,249.25,245.25,248.25,232,248.25,0.0
ARQQ,2021-04-14,251.0,254.27499389648438,250.0,251.0,928,251.0,0.0
ARQQ,2021-04-15,251.0,251.0,251.0,251.0,0,251.0,0.0
ARQQ,2021-04-16,251.0,251.0,251.0,251.0,0,251.0,0.0
ARQQ,2021-04-19,251.0,251.0,251.0,251.0,0,251.0,0.0
ARQQ,2021-04-20,253.5,253.5,241.5,242.25,76,242.25,0.0
ARQQ,2021-04-21,243.5,243.5,243.0,243.5,44,243.5,0.0
ARQQ,2021-04-22,243.75,243.75,243.75,243.75,8,243.75,0.0
ARQQ,2021-04-23,243.25,243.25,243.25,243.25,8,243.25,0.0
ARQQ,2021-04-26,243.25,243.25,243.25,243.25,0,243.25,0.0
ARQQ,2021-04-27,242.75,246.25,242.75,246.25,44,246.25,0.0
ARQQ,2021-04-28,246.25,246.25,246.25,246.25,0,246.25,0.0
ARQQ,2021-04-29,243.0,245.0,243.0,245.0,3500,245.0,0.0
ARQQ,2021-04-30,244.0,244.25,244.0,244.25,48,244.25,0.0
ARQQ,2021-05-03,244.25,244.25,242.75,243.75,56,243.75,0.0
ARQQ,2021-05-04,242.75,246.25,242.75,243.25,172,243.25,0.0
ARQQ,2021-05-05,243.0,246.0,242.5,244.75,1132,244.75,0.0
ARQQ,2021-05-06,244.75,244.75,243.875,243.875,32,243.875,0.0
ARQQ,2021-05-07,243.25,243.25,243.0,243.0,3208,243.0,0.0
ARQQ,2021-05-10,242.75,244.75,242.75,244.75,8,244.75,0.0
ARQQ,2021-05-11,242.5,242.5,242.5,242.5,16,242.5,0.0
ARQQ,2021-05-12,247.25,247.25,245.0,247.0,115712,247.0,0.0
ARQQ,2021-05-13,248.5,248.5,246.25,246.5,29268,246.5,0.0
ARQQ,2021-05-14,246.25,247.5,245.25,246.25,5440,246.25,0.0
ARQQ,2021-05-17,246.25,247.5,245.25,245.75,6108,245.75,0.0
ARQQ,2021-05-18,246.25,246.75,242.75,244.75,15916,244.75,0.0
ARQQ,2021-05-19,245.25,245.75,244.25,245.0,15856,245.0,0.0
ARQQ,2021-05-20,248.75,248.75,244.5,246.0,10176,246.0,0.0
ARQQ,2021-05-21,246.375,247.0,244.5,246.5,16516,246.5,0.0
ARQQ,2021-05-24,247.5,247.5,246.25,246.25,216,246.25,0.0
ARQQ,2021-05-25,247.25,247.25,246.25,246.25,828,246.25,0.0
ARQQ,2021-05-26,247.0,247.25,245.25,246.25,4720,246.25,0.0
ARQQ,2021-05-27,246.25,246.875,246.0,246.5,2168,246.5,0.0
ARQQ,2021-05-28,246.25,247.75,246.25,246.5,48,246.5,0.0
ARQQ,2021-06-01,247.75,248.75,246.625,248.25,1288,248.25,0.0
ARQQ,2021-06-02,248.25,248.25,246.25,247.75,13776,247.75,0.0
ARQQ,2021-06-03,247.75,248.25,247.375,248.0,320,248.0,0.0
ARQQ,2021-06-04,248.25,248.25,247.5,248.0,1964,248.0,0.0
ARQQ,2021-06-07,248.25,248.25,247.5,248.0,1412,248.0,0.0
ARQQ,2021-06-08,248.0,248.0,247.75,247.75,12648,247.75,0.0
ARQQ,2021-06-09,247.75,248.25,247.75,248.0,5800,248.0,0.0
ARQQ,2021-06-10,248.25,248.5,247.75,248.25,4200,248.25,0.0
ARQQ,2021-06-11,248.25,248.75,248.0,248.75,3776,248.75,0.0
ARQQ,2021-06-14,247.75,248.5,247.75,248.25,544,248.25,0.0
ARQQ,2021-06-15,248.25,248.25,247.5,247.5,908,247.5,0.0
ARQQ,2021-06-16,248.0,248.0,247.75,247.75,152,247.75,0.0
ARQQ,2021-06-17,248.25,248.25,247.5,247.5,660,247.5,0.0
ARQQ,2021-06-18,247.5,247.75,246.75,247.75,1092,247.75,0.0
ARQQ,2021-06-21,247.75,248.0,247.25,247.625,748,247.625,0.0
ARQQ,2021-06-22,247.64999389648438,248.25,247.25,248.25,492,248.25,0.0
ARQQ,2021-06-23,247.5,248.25,247.5,248.25,444,248.25,0.0
ARQQ,2021-06-24,248.25,248.75,247.97500610351562,248.25,1700,248.25,0.0
ARQQ,2021-06-25,248.75,249.0,248.25,248.5,1296,248.5,0.0
ARQQ,2021-06-28,248.25,248.25,248.0,248.25,684,248.25,0.0
ARQQ,2021-06-29,248.25,248.25,247.5,247.5,1684,247.5,0.0
ARQQ,2021-06-30,247.75,248.0,247.25,247.5,1464,247.5,0.0
ARQQ,2021-07-01,247.75,248.0,247.0,247.85000610351562,2040,247.85000610351562,0.0
ARQQ,2021-07-02,248.25,248.75,248.0,248.25,288,248.25,0.0
ARQQ,2021-07-06,247.5,248.0,246.75,247.375,1152,247.375,0.0
